Designator,Footprint,Quantity,Value,LCSC Part #
AE1,Johanson_2450AT18x100,1,Antenna,C127629
"C1, C10, C11, C12, C13, C14, C2, C3, C4, C5, C6, C7, C8, C9",1206,14,47u,C96123
"C15, C20, C22, C24, C26",0402,5,0u1,C307331
"C16, C17",0402,2,1p2,C76899
"C18, C21, C27, C28, C30, C35",0402,6,1u,C52923
C19,0402,1,10u,C15525
"C23, C25",0402,2,12p,C1547
C29,0402,1,4u7,C23733
"C32, C37",0402,2,1n,C1523
"C33, C38",CP_Elec_6.3x7.7,2,220u,C2918361
"D1, D10, D11, D12, D13, D14, D16, D19, D2, D20, D3, D4, D5, D6, D7, D8, D9",Diode_DFN1006,17,H5VU10U,C22395519
"D15, D23",D_SMA,2,D_Schottky,C22452
"D18, D26, D27",0805,3,GREEN,C2297
D21,0603,1,WHITE,C2290
D22,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,C2874885
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,C393939
"J2, J3, J5, J6",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,4,Conn_01x02,C158012
J7,PinHeader_2x06_P2.54mm_Vertical,1,Conn_01x12,
L1,0402,1,6n8,C77110
"L3, L4",0402,2,2n7,C77108
L5,0402,1,24n,C167472
"R1, R13, R16, R18, R19, R2, R22, R24, R4, R5",0402,10,5k1,C25905
"R10, R17, R23, R8",0402,4,10k,C25744
"R11, R12",0402,2,22,C25092
"R14, R20",0402,2,2k,C4109
"R15, R21",0402,2,620,C4961
R6,1206,1,120,C17909
R7,0402,1,0,C17168
R9,0402,1,470,C25117
"SW1, SW2",SW_SPST_TS-1088-xR020,2,SW_Push,C720477
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD230,C12084
U2,QFN-56-1EP_7x7mm_P0.4mm_EP4x4mm_ThermalVias,1,ESP32-S3FN8,C3013940
U3,DFN-6-1EP_2x2mm_P0.5mm_ST,1,LDL212PV33R,C2969892
"U4, U5",Texas_RPW0010A_VQFN-HR-10_2x2mm_P0.5mm,2,TPS259472A,C3662789
Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,48M,C7206306
